Name,Team,position,ovr rating,age,college,awareness rating,throw power rating,kick return rating,lead block rating,strength rating,b c vision rating,catch in traffic rating,play action rating,pursuit rating,medium route running rating,catching rating,acceleration rating,spin move rating,height,finesse moves rating,spectacular catch rating,run block rating,tackle rating,injury rating,zone coverage rating,weight,plyr birthdate,deep route running rating,years pro,total salary,trucking rating,throw accuracy short rating,juke move rating,play recognition rating,short route running rating,jersey num,break sack rating,speed rating,run block power rating,jumping rating,toughness rating,throw on the run rating,man coverage rating,stiff arm rating,power moves rating,iteration,release rating,hit power rating,throw accuracy mid rating,kick accuracy rating,pass block power rating,impact blocking rating,portrait id,stamina rating,carrying rating,break tackle rating,kick power rating,plyr handedness,throw under pressure rating,signing bonus,pass block rating,press rating,throw accuracy deep rating,block shedding rating,run block finesse rating,agility rating,elusiveness rating,pass block finesse rating,,primary key,encrypted id
Fletcher Cox,PHI,DT,96,28,Mississippi St.,98,19,10,41,95,25,15,6,87,7,32,86,30,76,75,15,45,93,93,38,310,12/13/1990,3,7,53840000,42,6,25,94,15,91,12,79,45,73,76,6,24,35,96,1,15,80,6,21,45,91,5119,89,35,10,25,Right,15,57570000,45,10,6,86,45,79,15,45,,11297,fln0lcvdfk3j126gcv2gt5qp9d6lr23h9ltp6qa9t0vu6675dkc0
Travis Kelce,KC,TE,96,29,Cincinnati,99,64,6,59,79,90,92,29,42,86,93,88,70,77,20,92,65,45,88,14,260,10/5/1989,78,6,36050000,78,60,83,15,88,87,42,85,63,91,89,47,12,82,20,1,85,15,55,32,63,74,5920,91,68,76,35,Right,33,11100000,64,10,49,40,64,87,71,62,,890,lhaeuv2qqu6dmq5usj876j6fa0
Zack Martin,DAL,RG,96,28,Notre Dame,93,29,10,94,93,10,15,6,48,5,32,81,10,76,10,15,97,28,96,11,310,11/20/1990,5,5,73340000,24,6,10,31,15,70,12,70,97,73,96,6,9,10,10,1,15,20,6,14,95,92,6511,93,40,5,9,Right,14,20000000,94,10,6,27,95,65,10,92,,12348,kc25v5sel48ckakpljkquprm9s
Jalen Ramsey,JAX,CB,96,24,Florida State,97,27,80,18,69,72,55,16,76,24,72,93,69,73,41,64,21,72,86,96,208,10/24/1994,12,3,21860000,42,33,78,92,36,20,34,92,33,94,86,24,97,45,35,1,27,81,26,17,33,58,8185,91,71,68,18,Right,17,15200000,10,98,21,50,34,90,78,34,,17538,l1dld7nstpk1jqp3v1ek2aq55c
Damon Harrison Sr,DET,DT,95,30,William Penn,93,30,10,44,94,25,10,6,92,3,37,76,25,75,67,15,45,94,91,42,353,11/29/1988,2,7,23500000,39,6,35,99,10,98,27,62,45,73,96,6,35,35,81,1,12,78,6,20,45,95,5855,80,33,15,20,Right,18,500000,45,25,6,98,45,64,20,45,,11824,0jl0b0bfds8lsskda14upckcfs
Earl Thomas III,BAL,FS,95,30,Texas,95,30,77,24,67,79,71,10,77,20,80,91,75,70,45,79,35,79,91,98,202,5/7/1989,15,9,24000000,40,10,85,92,30,29,22,89,35,92,82,10,82,25,55,1,20,87,6,15,35,69,2947,97,67,66,20,Right,28,31000000,35,80,6,56,35,93,77,35,,9951,rdg2in2fun0g776unv9f71i22g
Michael Thomas,NO,WR,95,26,Ohio State,98,24,25,25,75,89,95,6,19,94,98,92,79,75,11,94,52,27,90,18,212,3/3/1993,89,3,3200000,58,15,89,16,95,13,23,89,38,90,82,10,16,81,11,1,92,15,10,22,15,45,8231,98,75,82,23,Right,22,1920000,40,16,6,22,31,91,78,14,,17552,02d881gm2796jd2j438ul105no
Trent Williams,WAS,LT,95,31,Oklahoma,98,12,10,92,95,10,15,6,31,5,20,82,10,77,10,51,93,32,84,14,320,7/19/1988,5,9,59750000,10,6,10,19,15,71,12,76,91,67,98,6,10,10,10,1,15,60,6,10,96,94,3231,85,40,7,11,Right,14,20050000,93,10,6,32,95,75,15,92,,9800,mc87hn08a2dajmmo5fl29se4p8
Ezekiel Elliott,DAL,HB,94,24,Ohio State,98,27,63,66,81,98,70,29,48,61,75,91,89,72,21,68,47,59,97,19,225,7/22/1995,55,3,17700000,84,30,94,20,68,21,20,90,34,94,96,29,14,93,16,1,57,42,22,20,38,64,7993,94,88,91,21,Right,23,16360000,59,16,20,32,33,95,85,33,,17547,dkogfch03i2b4pvt0lv65mhnq4
Travis Frederick,DAL,C,94,28,Wisconsin,96,26,10,93,93,15,15,6,15,5,45,79,10,76,10,12,95,33,98,12,318,3/18/1991,5,6,39700000,25,6,10,10,10,72,12,55,93,74,98,6,12,10,10,1,12,20,6,22,93,95,5806,95,39,5,22,Right,10,21010000,91,10,6,10,96,66,10,87,,1008,3q7e8lpabao6eajmfb2iplo5v0
Stephon Gilmore,NE,CB,94,28,South Carolina,95,22,70,16,62,66,58,6,73,11,76,94,45,73,44,70,35,61,94,90,202,9/19/1990,10,7,33550000,22,6,75,93,15,24,17,91,35,90,72,6,96,30,60,1,15,68,6,25,35,56,5184,96,62,67,30,Right,10,31450000,35,95,6,54,35,94,77,35,,11436,umkepttoacu62od8arv821ptp8
Tyreek Hill,KC,WR,94,25,West Alabama,85,36,95,20,64,95,90,12,33,88,90,99,85,70,10,88,59,27,88,20,185,3/1/1994,96,3,3830000,38,27,97,26,90,10,28,99,17,93,66,18,10,43,10,1,91,25,22,15,19,40,8052,88,80,85,13,Left,20,110000,33,30,17,21,12,98,98,19,,17838,hmmob3vcrcnoeqobtlc8kioddg
Jason Kelce,PHI,C,94,31,Cincinnati,98,22,10,94,85,10,15,6,58,5,40,83,10,75,35,15,98,57,90,32,295,11/5/1987,5,8,9930000,10,6,10,40,15,62,12,74,95,72,65,6,25,10,45,1,15,55,6,22,83,89,4406,86,40,14,18,Right,12,7330000,88,10,6,55,98,75,24,90,,10690,gcqsb1dvd5s40a7bllrrovevjo
Philip Rivers,LAC,QB,94,37,N.C. State,98,87,10,10,62,45,10,98,34,10,22,70,41,77,10,12,13,22,98,31,228,12/8/1981,10,15,67500000,20,98,49,26,10,17,44,65,13,45,99,82,13,31,10,1,12,12,94,12,12,13,6298,95,63,31,15,Right,96,33170000,12,10,93,22,13,59,29,12,,17273,8p0ff8of284tiujeit3s18bdm8
Harrison Smith,MIN,SS,94,30,Notre Dame,90,25,10,23,73,60,59,10,93,13,82,91,61,74,50,69,35,84,95,93,214,2/2/1989,10,7,46030000,61,10,54,93,15,22,10,87,35,85,76,10,80,35,66,1,12,93,10,20,35,68,5485,91,66,39,25,Right,23,10600000,35,79,10,73,35,92,54,35,,11440,a3l0n9heluvqs6tg2e98i012td6lr23h9ltp6qa9t0vu6675dkc0
Tyron Smith,DAL,LT,94,28,USC,93,35,11,89,96,10,48,6,39,25,56,84,10,77,10,37,92,45,84,12,320,12/12/1990,17,8,68880000,10,6,10,10,35,77,12,73,89,74,94,6,12,10,10,1,15,20,6,21,95,92,4484,88,55,11,25,Right,14,25950000,92,10,6,40,94,78,21,93,,10653,r3a328miufpc7l8ou1l136uhh4
Adam Thielen,MIN,WR,94,29,Minnesota State,97,51,67,25,67,92,91,29,29,93,96,93,82,74,10,96,50,32,90,16,200,8/22/1990,89,6,63000000,51,46,85,25,94,19,22,90,36,91,79,33,10,63,10,1,94,15,37,35,25,45,6913,96,73,79,34,Right,29,15810000,35,15,32,32,33,93,79,20,,2280,3nra6mel43bkrkja7oqg33218c
David DeCastro,PIT,RG,93,29,Stanford,90,33,10,90,94,10,15,6,30,10,25,79,10,77,10,24,94,39,91,13,316,1/11/1990,6,7,25360000,10,6,10,18,20,66,12,59,94,80,94,6,7,10,10,1,25,25,6,36,94,89,5138,90,39,8,33,Right,14,16400000,93,10,6,26,93,71,15,93,,11287,98mma3pad3d85smfhvia7vdoso
Stefon Diggs,MIN,WR,93,25,Maryland,95,35,85,29,62,92,91,6,35,92,97,93,87,72,10,95,51,27,87,25,191,11/29/1993,89,4,58410000,42,15,97,20,93,14,27,91,36,89,66,10,15,64,10,1,89,12,10,30,20,49,7085,90,76,85,30,Right,20,15560000,39,15,6,35,33,93,90,22,,2454,gkgmsn4k43usljus46245s861k
Zach Ertz,PHI,TE,93,28,Stanford,98,42,35,57,73,87,90,6,36,88,97,87,73,77,10,93,54,36,86,18,250,11/10/1990,79,6,19260000,69,15,77,17,92,86,25,83,50,81,84,10,19,73,10,1,89,12,10,22,64,72,5790,93,80,70,22,Right,15,23430000,65,10,6,44,53,82,64,60,,857,pnpv7bape8ih08vt05souknp10
Rodney Hudson,LV,C,93,30,Florida State,87,12,10,92,90,10,15,6,35,5,34,79,10,74,30,15,84,45,92,14,300,7/12/1989,5,8,9170000,20,6,10,15,15,61,12,61,86,65,97,6,12,10,30,1,15,20,6,15,96,91,4391,85,40,25,11,Right,16,7890000,94,10,6,41,81,60,35,92,,10688,fk4fnuainjkbhp35vegsuvet3o
Mitchell Schwartz,KC,RT,93,30,California,94,11,10,81,88,10,15,6,30,5,27,75,10,77,10,15,82,35,98,13,320,6/8/1989,5,7,25560000,21,6,10,28,15,71,12,59,77,73,91,6,12,10,10,1,15,20,6,12,96,85,5467,88,40,5,15,Right,16,7440000,95,10,6,25,84,63,10,94,,11475,4g64l4t3cshhptdsfv4i5a10s56lr23h9ltp6qa9t0vu6675dkc0
Richard Sherman,SF,CB,93,31,Stanford,99,12,51,19,79,86,64,6,79,29,81,89,75,75,55,81,35,66,96,97,195,3/30/1988,22,8,23750000,51,6,77,97,39,25,14,88,35,98,94,6,89,50,35,1,48,72,6,10,35,59,4475,99,66,64,12,Right,12,3150000,35,96,6,53,35,95,74,35,,10811,ht0hafq58h49pcb9u1t7qtg160
Andrew Whitworth,LAR,LT,93,37,LSU,95,35,13,91,92,10,10,6,40,5,24,73,10,79,20,12,90,37,90,12,330,12/12/1981,5,13,21770000,40,6,10,10,10,77,12,62,88,65,88,6,15,10,20,1,12,12,6,28,93,93,3164,90,40,9,20,Left,15,13240000,94,10,6,37,91,59,19,96,,27243,2vjk24lo0o3ppb2ejm36bboam0
Davante Adams,GB,WR,92,26,Fresno State,96,30,45,25,63,89,94,6,44,92,93,92,81,73,10,91,49,42,93,24,215,12/24/1992,88,5,39210000,63,15,88,26,93,17,22,89,20,93,74,10,18,75,10,1,96,15,10,30,13,45,6328,91,76,80,25,Right,20,20300000,38,25,6,52,12,90,81,17,,10823,gaetbu1tt6hha6ej1dd17amh4k
Le'Veon Bell,NYJ,HB,92,27,Michigan St.,85,40,25,52,77,96,77,22,45,74,75,92,92,73,39,72,50,55,86,20,225,2/18/1992,65,6,27500000,90,40,95,25,81,26,24,89,45,92,81,35,11,94,32,1,73,45,32,22,48,50,5688,94,88,91,20,Right,25,25000000,64,15,30,54,42,95,86,42,,344,mgq1as3p21uisu6ajt6p6grsug
Drew Brees,NO,QB,92,40,Purdue,97,85,10,16,53,51,15,96,25,15,38,72,43,71,10,15,21,26,98,21,209,1/15/1979,13,18,15200000,20,99,68,32,15,9,39,68,16,75,96,84,17,25,10,1,15,12,95,16,20,26,6292,95,64,34,21,Right,93,31500000,25,10,90,26,16,68,31,20,,14118,tsj1f4ehg0h981jacili6f258g
Calais Campbell,JAX,LE,92,33,Miami,96,35,10,19,92,20,10,6,89,3,41,83,15,80,89,15,45,92,97,27,300,9/1/1986,2,11,51000000,41,6,15,93,10,93,12,73,45,85,80,6,20,45,84,1,12,85,6,30,45,89,655,92,46,16,30,Right,14,9000000,45,35,6,93,45,80,26,45,,28363,jdhair3t78kbf8iufsi8uso0f0
Jadeveon Clowney,HOU,ROLB,92,26,South Carolina,95,35,10,28,84,55,40,6,95,5,49,90,50,77,81,44,45,86,85,59,255,2/14/1993,5,5,15970000,54,6,54,97,15,90,12,87,45,89,79,6,51,60,89,1,15,86,6,20,45,93,6380,89,59,27,21,Right,17,0,45,35,6,89,45,87,42,45,,10845,e2c6715mfqm2e1tc9k3kt3t0hh6lr23h9ltp6qa9t0vu6675dkc0
Melvin Gordon III,LAC,HB,92,26,Wisconsin,95,35,69,36,74,91,64,10,49,57,69,90,83,73,16,61,38,42,89,20,215,4/13/1993,49,4,7500000,78,10,96,20,64,25,20,92,27,85,78,5,10,91,12,1,55,40,10,21,35,34,7140,89,93,90,22,Left,20,1500000,59,15,10,40,28,92,88,31,,2398,r2j4l99n2vkt8bquq8i84t2kig
Malcolm Jenkins,PHI,SS,92,31,Ohio State,93,21,25,15,67,75,56,6,84,40,78,91,75,72,55,67,35,76,97,94,204,12/20/1987,35,10,25620000,40,6,82,96,50,27,15,86,35,90,92,6,81,26,56,1,30,81,6,19,35,60,1641,97,58,35,22,Right,14,16860000,35,80,6,65,35,90,50,35,,20124,smqvs1emeiglpu7cs0am2e5pbo
Andrew Luck,IND,QB,92,29,Stanford,96,89,10,10,74,85,44,91,24,45,57,86,64,76,10,53,21,21,85,21,240,9/12/1989,35,7,107130000,55,96,68,25,55,12,81,83,16,86,97,93,15,29,10,1,26,12,91,28,15,15,6295,97,59,67,25,Right,88,32530000,22,10,92,19,17,84,69,16,,11209,0vi4vmlhmiddf9nbcl8vslf54s
Patrick Peterson,ARI,CB,92,29,LSU,88,64,88,17,71,92,70,10,69,30,81,92,87,73,62,89,35,59,97,91,203,7/11/1990,23,8,62250000,55,59,90,91,40,21,47,92,35,95,82,35,94,65,52,1,54,72,37,21,35,57,4444,97,67,85,28,Right,45,16810000,35,94,32,45,35,95,87,35,,10743,101a2hg266pog2f7ifjn8l6mag
Michael Pierce,BAL,DT,92,26,Samford,85,24,9,40,96,24,14,6,85,5,26,86,17,72,62,16,45,85,87,26,339,11/6/1992,3,3,3100000,52,6,23,96,13,97,12,72,46,74,84,6,18,32,82,1,15,77,6,19,44,90,8397,78,28,17,23,Right,15,0,44,13,6,95,45,68,22,45,,12433,bgg3gkkdebgbb3l20mtn48m1f4
Delanie Walker,TEN,TE,92,35,Central Missouri,90,35,44,63,78,66,85,6,55,81,90,84,45,74,10,81,79,41,88,25,248,8/12/1984,77,13,18050000,77,15,62,40,85,82,29,85,72,87,75,10,10,84,10,1,82,25,10,25,58,79,3070,89,74,66,22,Right,16,5990000,59,25,6,49,79,82,64,56,,27370,h7l9hn9jmk4biji9bl0s4ko7ns
Geno Atkins,CIN,DT,91,31,Georgia,98,25,10,38,90,15,15,6,89,7,25,84,10,73,78,15,45,84,85,25,300,3/28/1988,3,9,60250000,30,6,10,95,15,97,12,78,45,75,80,6,15,40,93,1,15,85,6,20,45,89,316,90,40,10,20,Right,16,14500000,45,15,6,89,45,71,12,45,,9867,cf83u4hioqnalcavc0nlmvcqhc
Saquon Barkley,NYG,HB,91,22,Penn State,79,37,81,34,81,79,70,18,36,67,78,93,94,71,25,76,36,28,93,13,233,2/9/1997,61,1,10430000,83,34,95,21,74,26,31,92,35,93,92,36,15,85,17,1,68,17,30,14,38,37,8813,97,95,97,19,Right,18,20760000,51,10,23,24,31,96,90,33,,13085,lenr4hoktevrgbc30j40u0gteg
Mike Evans,TB,WR,91,26,Texas AM,95,35,50,39,79,90,97,10,25,88,88,91,75,77,10,96,55,39,91,27,231,8/21/1993,86,5,85790000,76,25,83,15,84,13,22,89,38,95,88,15,40,79,10,1,95,15,20,24,25,59,6407,92,76,76,25,Right,20,10000000,45,20,15,35,35,86,70,23,,10857,19csoa3h898dhnds7c5cbe5a3k
Myles Garrett,CLE,RE,91,23,Texas AM,92,20,10,17,96,39,21,6,88,8,52,90,40,76,86,25,45,81,87,48,272,12/29/1995,4,2,10160000,36,6,35,90,15,95,12,84,45,94,83,6,49,45,93,1,35,81,6,20,45,87,8560,94,55,34,20,Right,16,20240000,45,44,6,88,45,83,34,45,,12520,ho95uboh7ho1f1n58et6jsaut0
T.Y. Hilton,IND,WR,91,29,FIU,96,22,85,23,46,94,86,6,37,91,93,91,86,70,10,87,49,20,89,22,183,11/14/1989,91,7,56540000,31,15,93,22,92,13,24,93,37,86,84,10,12,56,10,1,83,15,10,14,14,43,5235,93,70,87,15,Right,23,10130000,33,15,6,35,30,95,96,10,,11276,nctblqdn2mo7t1738srgppqi0k
Eddie Jackson,CHI,FS,91,25,Alabama,93,21,83,10,63,80,73,6,87,42,78,90,65,72,41,71,38,71,82,96,201,12/10/1993,37,2,2390000,48,6,76,91,52,39,12,88,35,84,64,6,83,47,32,1,49,82,6,19,35,53,8600,89,74,57,20,Right,17,640000,35,78,6,56,35,86,72,35,,12634,h5katdunbpifp4p91kjvc9o9sg
Byron Jones,DAL,CB,91,26,Connecticut,91,44,65,16,71,54,40,6,72,17,63,94,74,72,44,61,35,64,90,94,205,9/26/1992,12,4,10370000,35,6,76,90,27,31,15,92,35,98,83,6,87,39,35,1,41,60,6,21,35,61,7196,91,59,50,24,Right,17,4520000,35,93,6,49,35,96,65,35,,2577,iiq7077he5kj6dabtjhp96dd10
Cameron Jordan,NO,LE,91,30,California,97,30,10,22,91,26,15,6,89,8,36,85,25,76,71,15,45,89,97,40,287,7/10/1989,4,8,36990000,10,6,30,97,15,94,12,78,45,76,85,6,30,25,92,1,20,84,6,29,45,92,4404,91,40,14,33,Right,14,25250000,45,20,6,92,45,80,24,45,,10697,59k6j7alojfb1bpljgp94bcp2s
Christian McCaffrey,CAR,HB,91,23,Stanford,86,44,88,47,72,84,76,25,44,75,81,92,91,71,10,77,38,36,88,17,202,6/7/1996,66,2,6570000,54,41,93,28,82,22,24,91,22,89,82,43,12,77,10,1,74,27,37,23,36,45,8655,96,89,81,29,Right,17,10680000,61,15,30,32,22,97,91,32,,12556,mqc7772tdjedplprnej9056re08h4tqkded6qv5dogtjsem1vdcg
Russell Wilson,SEA,QB,91,30,Wisconsin,93,89,10,33,59,93,35,95,47,21,68,90,79,71,10,42,45,26,98,14,215,11/29/1988,11,7,87500000,38,91,83,26,31,3,93,86,38,83,98,98,15,65,10,1,25,12,89,19,10,15,5566,97,65,83,10,Right,85,77790000,10,10,92,16,35,93,84,10,,11217,q0fi6rib9n049320qs5lkdbbnc
Marshal Yanda,BAL,RG,91,34,Iowa,94,20,10,78,93,10,10,6,23,5,32,81,10,75,10,12,92,45,93,12,305,9/15/1984,5,12,7500000,25,6,10,10,10,73,12,62,93,64,99,6,12,10,10,1,12,15,6,20,90,91,3300,85,40,5,20,Right,14,12630000,89,10,6,25,90,66,10,88,,28013,62g67p2dsh4str4hrghr4pgtug
Jamal Adams,NYJ,SS,90,23,LSU,85,25,35,26,78,55,52,15,90,25,72,90,55,73,41,62,35,80,94,90,213,10/17/1995,20,2,7940000,45,15,65,91,35,33,20,91,35,78,84,15,86,40,54,1,12,95,10,25,35,75,8463,93,60,25,25,Right,17,14320000,35,63,10,67,35,87,40,35,,12524,lpf6tl6eqd5vaq1qug5s6qi8js
Brandon Brooks,PHI,RG,90,30,Miami Univ.,84,9,10,73,96,10,10,6,21,5,35,83,10,77,10,12,85,40,87,12,335,8/19/1989,5,7,16290000,30,6,10,10,10,79,12,72,84,82,78,6,12,10,10,1,12,25,6,20,91,90,5713,81,30,5,22,Right,13,15120000,90,10,6,30,87,69,10,89,,11491,2m2vdbelnfkhdrtftiadfb6eg4
Kenny Clark,GB,DT,90,23,UCLA,92,23,9,36,95,27,22,6,84,5,24,83,17,75,67,24,45,86,91,38,314,10/4/1995,3,3,13760000,35,6,24,93,13,97,12,70,46,76,92,6,33,27,86,1,15,82,6,17,44,86,7947,83,34,14,17,Right,18,5050000,44,13,6,94,45,65,19,45,,17661,3ck1lops3u6uq3g4valtq3h47o
Lavonte David,TB,MLB,90,29,Nebraska,92,15,10,28,77,35,15,6,92,5,77,90,25,73,61,15,45,91,97,79,233,1/23/1990,5,7,50990000,26,6,35,88,15,54,12,86,45,88,89,6,72,39,55,1,25,86,6,12,45,88,5133,97,60,10,14,Right,14,370000,45,55,6,87,45,87,25,45,,11306,6m2t4cu1v7pbgc8vv4nto04nkg
A.J. Green,CIN,WR,90,31,Georgia,90,41,67,25,72,93,96,6,40,90,90,89,85,76,10,97,51,35,90,30,210,7/31/1988,90,8,54380000,67,20,89,25,92,18,27,90,37,96,86,15,23,72,10,1,88,15,15,15,20,45,4372,96,74,88,19,Right,23,15800000,28,15,15,40,35,92,83,17,,10614,lqbn5ftusc05871jk2e3ff2p28
Chris Harris Jr,DEN,CB,90,30,Kansas,92,35,67,17,58,55,48,6,85,23,79,89,60,70,35,66,35,62,92,88,199,6/18/1989,16,8,500000,19,6,64,95,33,25,10,90,35,90,86,6,93,33,32,1,30,60,6,25,35,57,5589,95,60,60,25,Right,15,11550000,35,87,6,64,35,96,70,35,,11008,to9jj5hliitm6aj9aj3og8p2ck
Kareem Hunt,CLE,HB,90,24,Toledo,84,27,55,45,81,94,67,26,34,61,71,92,79,71,10,64,39,31,88,29,216,8/6/1995,55,1,1020000,89,24,93,16,68,27,21,90,29,92,86,30,13,86,10,1,52,24,20,16,28,43,8597,87,98,94,24,Right,18,0,57,20,17,29,24,92,83,23,,12633,av6h2hdnq1u10nrmkh3t9723ok
Deion Jones,ATL,MLB,90,24,LSU,90,25,10,25,73,32,45,6,89,5,70,91,32,73,58,60,45,89,87,85,222,11/4/1994,5,3,3040000,27,6,38,88,15,45,12,90,44,85,78,6,77,26,51,1,18,84,6,19,44,85,8084,85,56,14,19,Right,10,1520000,45,51,6,69,44,88,29,43,,17677,fhg0c4m1navlk26h1ru0t719os
Alvin Kamara,NO,HB,90,24,Tennessee,87,38,83,41,73,91,78,26,34,76,77,94,84,70,48,76,41,29,85,24,215,7/25/1995,68,2,2900000,87,32,92,18,83,41,24,89,29,92,78,33,18,88,31,1,78,33,28,16,27,39,8617,88,93,92,21,Right,15,960000,64,17,23,29,28,93,87,23,,12551,jr25tl4f7ru10f60kk322m0id0
